,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
103,Nouadhibou,68,MR,1549256400,82,20.93,-17.03,59,17.22
104,Yar-Sale,56,RU,1549260401,79,66.83,70.83,-17.38,13.22
106,Klaksvik,8,FO,1549259400,80,62.23,-6.59,35.6,11.41
107,Norman Wells,5,CA,1549256400,67,65.28,-126.83,-23.81,5.82
108,Mizdah,0,LY,1549260402,63,31.45,12.98,37.66,13
109,Navirai,8,BR,1549260402,90,-23.07,-54.19,74.74,7.52
110,Puerto Ayora,24,EC,1549260403,100,-0.74,-90.35,78.34,4.94
111,Kutum,0,SD,1549260403,44,14.2,24.66,61.15,9.64
112,East London,0,ZA,1549256400,83,-33.02,27.91,69.8,12.75
113,Clyde River,20,CA,1549258980,83,70.47,-68.59,-11.21,27.51
114,Dalvik,75,SE,1549257600,92,57.79,14.13,26.6,9.17
116,Saskylakh,68,RU,1549260404,72,71.97,114.09,-10.5,16.24
117,Batagay-Alyta,12,RU,1549260405,67,67.8,130.41,-37.05,2.71
118,Tura,0,IN,1549260405,56,25.52,90.21,69.88,2.71
119,Guerrero Negro,100,MX,1549260405,100,27.97,-114.04,58.09,5.17
120,Grindavik,75,IS,1549258200,92,63.84,-22.43,30.2,6.93
121,Tasiilaq,80,GL,1549255800,79,65.61,-37.64,23,29.97
122,Tuktoyaktuk,75,CA,1549256400,70,69.44,-133.03,-4.01,16.11
123,Khandbari,0,NP,1549260406,57,27.38,87.21,32.53,0.36
125,Traverse City,90,US,1549259760,100,44.76,-85.62,41.18,6.17
126,Mogadishu,20,SO,1549256400,69,2.04,45.34,77,12.75
127,Bredasdorp,92,ZA,1549256400,88,-34.53,20.04,66.2,5.82
128,Conakry,0,GN,1549256400,83,9.52,-13.7,77,6.62
129,Arbagar,0,RU,1549260408,55,51.94,116.28,-12.39,7.07
130,Castro,0,CL,1549256400,72,-42.48,-73.76,62.6,5.82
131,Chokurdakh,20,RU,1549260409,58,70.62,147.9,-32.91,10.2
132,Hervey Bay,40,AU,1549256400,48,-25.3,152.85,86,17.22
133,Lorengau,88,PG,1549260409,100,-2.02,147.27,78.88,10.42
134,Saldanha,0,PT,1549260409,79,41.42,-6.55,21.37,2.71
135,Kibi,32,GH,1549260410,95,6.17,-0.55,70.28,2.71
136,Auras,75,IN,1549258200,87,26.91,80.51,53.6,3.36
137,Singaraja,80,ID,1549260410,96,-8.11,115.08,77.71,2.04
138,Ajdabiya,0,LY,1549260411,38,30.75,20.22,52.42,11.43
139,Hami,64,CN,1549260411,92,42.84,93.51,22.67,4.16
140,Gimli,92,CA,1549260407,77,50.63,-96.99,-3.93,16.13
143,Niksar,0,TR,1549259400,78,40.59,36.95,32,2.04
144,Lakselv,0,NO,1549259400,70,70.05,24.96,1.4,35.57
145,Caboolture,40,AU,1549258200,54,-27.08,152.95,87.8,12.75
146,Kaitangata,92,NZ,1549260412,57,-46.28,169.85,72.13,16.24
147,Severo-Kurilsk,56,RU,1549260413,100,50.68,156.12,26.59,5.61
148,Namibe,8,AO,1549260413,100,-15.19,12.15,76.72,4.05
149,Port Alfred,32,ZA,1549260413,86,-33.59,26.89,70.28,14.45
150,Myaundzha,0,RU,1549260413,77,63.05,147.18,-20.13,2.48
151,Boende,64,CD,1549260414,97,-0.28,20.88,71.41,3.94
152,Rosarito,40,CO,1549256400,83,4.91,-75.23,69.8,3.36
153,Collie,0,AU,1549260414,37,-33.36,116.15,81.04,14.56
154,Constitucion,0,MX,1549260415,56,23.99,-104.67,45.98,4.38
155,Annapolis,75,US,1549259640,92,38.98,-76.49,35.96,3.36
156,Magadan,80,RU,1549260415,100,59.56,150.8,5.8,15.79
157,Mackenzie,1,CA,1549256400,48,55.34,-123.09,-7.61,13.87
158,Cabo San Lucas,40,MX,1549255200,82,22.89,-109.91,68,7.74
159,Quixere,92,BR,1549260416,100,-5.07,-37.99,72.04,6.17
160,Rodrigues Alves,90,BR,1549256400,100,-7.74,-72.65,73.4,2.24
161,Jiuquan,0,CN,1549260416,76,39.73,98.49,23.62,2.71
162,Mackay,90,CA,1549256400,68,53.65,-115.58,-18.41,4.7
163,Vila Franca do Campo,75,PT,1549258200,82,37.72,-25.43,62.6,11.41
164,Micheweni,80,TZ,1549260417,100,-4.97,39.83,81.31,9.08
165,Umm Kaddadah,0,SD,1549260417,34,13.6,26.69,62.9,3.94
166,Erlenbach,0,DE,1549259400,92,49.67,8.75,28.4,2.71
167,Pisco,90,PE,1549256400,94,-13.71,-76.2,73.4,11.41
168,Torbay,90,CA,1549256400,66,47.66,-52.73,10.4,23.04
170,Pevek,24,RU,1549260419,97,69.7,170.27,-16.71,11.1
172,Atuona,64,PF,1549260419,100,-9.8,-139.03,80.63,14.12
173,Casas Grandes,80,MX,1549260420,61,30.15,-110.24,54.76,2.04
174,Leningradskiy,68,RU,1549260420,80,69.38,178.42,-4.56,15.57
175,Grand Baie,40,MU,1549256400,79,-20.02,57.58,86,11.41
176,Sagua la Grande,20,CU,1549255800,93,22.81,-80.07,60.8,1.12
177,Hobart,20,AU,1549258200,53,-42.88,147.33,71.6,17.22
178,Port Shepstone,0,ZA,1549260421,93,-30.74,30.45,73.3,20.04
179,Flin Flon,24,CA,1549260421,60,54.77,-101.88,-20.94,4.94
180,Acapulco,5,MX,1549259280,88,16.86,-99.88,73.4,3.04
181,Ukiah,90,US,1549256160,85,39.15,-123.21,46.04,2.15
183,Lagoa,0,PT,1549258200,83,37.14,-8.45,44.6,5.82
184,La Ronge,90,CA,1549256400,73,55.1,-105.3,-31.01,2.59
185,Georgetown,75,GY,1549256400,94,6.8,-58.16,75.2,4.7
186,Port Elizabeth,90,US,1549259640,100,39.31,-74.98,33.98,2.93
187,Kyzyl-Suu,8,KG,1549260424,100,42.34,78,25.6,1.59
189,Esperance,20,TT,1549256400,83,10.24,-61.45,73.4,5.06
190,Agadir,0,MA,1549258200,70,30.42,-9.58,46.4,9.17
191,Hereford,68,GB,1549260425,94,52.06,-2.72,43.6,10.98
194,Kalmunai,92,LK,1549260426,98,7.42,81.82,77.57,4.72
195,Muyezerskiy,92,RU,1549260426,75,63.93,31.65,9.94,10.65
196,Pontianak,40,ID,1549258200,66,-0.02,109.34,87.8,5.82
198,Berdigestyakh,64,RU,1549260427,41,62.1,126.7,-27.15,6.17
200,Arraial do Cabo,68,BR,1549260427,97,-22.97,-42.02,75.01,7.96
201,Chitral,88,PK,1549260427,85,35.85,71.79,14.93,0.69
202,Borova,90,UA,1549258260,100,50.18,30.1,37.4,8.95
204,Kieta,88,PG,1549260428,93,-6.22,155.63,83.56,6.4
205,Barrow,0,AR,1549260428,87,-38.31,-60.23,52.15,5.17
206,Fort Myers Beach,90,US,1549259760,96,26.45,-81.95,66.92,4.7
207,Mecca,0,SA,1549260429,55,21.43,39.83,69.65,4.5
208,Haines Junction,68,CA,1549260429,81,60.75,-137.51,-20.98,1.36
209,Petropavlovsk-Kamchatskiy,0,RU,1549258200,49,53.05,158.65,26.6,8.95
210,Matara,36,PE,1549260430,89,-13.74,-72.9,43.15,1.7
211,Katsuura,75,JP,1549256400,44,33.93,134.5,59,17.22
213,Carnarvon,0,ZA,1549260202,81,-30.97,22.13,56.78,10.76
214,Shenjiamen,44,CN,1549260431,87,29.96,122.3,51.43,13.44
215,Nizip,0,TR,1549259400,84,37.01,37.79,33.8,1.12
216,San Quintin,24,PH,1549260431,51,17.54,120.52,85.45,5.5
217,Rawicz,90,PL,1549258200,97,51.61,16.87,32,12.75
218,Pacific Grove,75,US,1549259640,83,36.62,-121.92,51.98,3.36
219,Ballina,75,IE,1549260000,93,54.11,-9.15,41,6.93
220,Huarmey,56,PE,1549260432,93,-10.07,-78.15,66.64,2.59
221,Netivot,0,IL,1549260433,78,31.42,34.59,48.68,9.98
222,Deputatskiy,8,RU,1549260433,0,69.3,139.9,-47.94,3.49
224,Sitka,0,US,1549260433,35,37.17,-99.65,57.77,17.81
225,Sao Filipe,76,CV,1549260434,100,14.9,-24.5,70.15,15.23
226,Kahului,75,US,1549256160,78,20.89,-156.47,73.94,9.17
227,Ishinomaki,20,JP,1549256400,45,38.42,141.3,48.2,35.57
228,La Roda,0,ES,1549256400,80,39.21,-2.16,30.2,6.93
229,Coquimbo,90,CL,1549256400,93,-29.95,-71.34,60.8,4.7
230,Kayes,0,ML,1549260435,57,14.44,-11.44,63.98,6.62
231,Ozernovskiy,76,RU,1549260435,89,51.5,156.52,25.96,10.2
232,Taoudenni,8,ML,1549260436,27,22.68,-3.98,49.27,16.24
234,Tiksi,20,RU,1549260436,59,71.64,128.87,-33.4,3.38
235,Caxito,48,BR,1549260436,100,-22.65,-42.51,71.18,3.6
236,Camocim,68,BR,1549260437,100,-2.9,-40.84,74.83,2.93
237,Nikolskoye,90,RU,1549258200,86,59.7,30.79,33.8,6.71
238,Tessalit,0,ML,1549260437,28,20.2,1.01,47.74,12.21
239,Krasnyy Kut,0,RU,1549260438,89,47.1,40.67,21.46,8.41
240,Baker City,90,US,1549255980,88,44.77,-117.83,37.04,4.7
241,Dalbandin,92,PK,1549260438,98,28.9,64.41,54.35,14.12
242,Neiafu,40,TO,1549256400,62,-18.65,-173.98,84.2,6.93
243,Cervo,12,BR,1549260439,93,-22.19,-46.24,62.5,2.48
244,Poum,92,MK,1549260439,84,41.28,20.71,39.05,2.37
245,Sinnamary,92,GF,1549260439,94,5.38,-52.96,79.78,14
246,Ancud,0,CL,1549256400,72,-41.87,-73.83,62.6,5.82
247,Faanui,92,PF,1549260440,100,-16.48,-151.75,82.97,9.75
248,Cape Canaveral,90,US,1549259760,100,28.41,-80.6,62.96,12.75
249,Puri,75,ID,1549258200,59,-7.54,112.45,89.6,9.17
250,Guarapari,0,BR,1549256400,88,-20.67,-40.5,78.8,3.36
251,Necochea,0,AR,1549260441,100,-38.55,-58.74,48.91,3.04
252,Verkhoyansk,24,RU,1549260441,0,67.55,133.39,-44.07,2.59
254,Henties Bay,92,NA,1549260441,100,-22.12,14.28,61.73,3.04
255,Aasiaat,0,GL,1549260442,98,68.71,-52.87,14.89,14.67
256,Ourem,12,PT,1549260442,84,39.64,-8.59,29.83,2.93
257,Gamba,0,CN,1549260442,71,28.28,88.52,15.43,9.53
258,Biak,44,ID,1549260443,75,-0.91,122.88,86.75,6.73
259,Axim,0,GH,1549260443,100,4.87,-2.24,81.76,9.19
260,Bemidji,90,US,1549258560,84,47.48,-94.89,10.94,8.05
262,General Roca,0,AR,1549256400,43,-39.03,-67.58,69.8,6.93
263,Port Macquarie,0,AU,1549256400,52,-31.43,152.91,89.6,19.46
264,Williams Lake,90,CA,1549256400,76,52.13,-122.14,-9.41,10.29
265,Ecoporanga,0,BR,1549260444,83,-18.37,-40.83,72.8,4.72
266,Bonoua,20,CI,1549258200,94,5.27,-3.6,80.6,8.05
267,Quatre Cocos,40,MU,1549256400,79,-20.21,57.76,86,11.41
268,Tilichiki,80,RU,1549260445,84,60.47,166.1,13.63,3.71
270,Kabare,0,RW,1549260446,72,-1.65,29.38,67.72,2.48
271,Provideniya,90,RU,1549256400,92,64.42,-173.23,28.4,11.18
272,Narsaq,64,GL,1549255800,73,60.91,-46.05,19.4,2.24
273,Banat,0,SD,1549260447,44,14.75,33.41,73.84,10.54
274,Cacu,44,BR,1549260447,92,-18.56,-51.13,68.93,7.52
275,Husavik,92,CA,1549260447,77,50.56,-96.99,-3.93,16.13
276,Tricase,20,IT,1549256100,87,39.93,18.36,53.6,8.05
277,Zhigansk,24,RU,1549260448,59,66.77,123.37,-33.09,7.07
278,Shache,0,CN,1549260448,51,38.42,77.24,36.31,3.71
279,Port-Gentil,64,GA,1549260448,100,-0.72,8.78,78.61,6.4
280,Bloemfontein,0,ZA,1549257660,67,-29.12,26.22,62.6,4.7
281,Hambantota,75,LK,1549257000,83,6.12,81.12,82.4,14.99
283,Padang,75,ID,1549256400,79,-0.92,100.36,84.2,6.93
284,Nushki,80,PK,1549260450,86,29.55,66.02,48.95,5.73
285,Mehamn,0,NO,1549259400,78,71.03,27.85,15.8,6.93
286,Avarua,90,CK,1549256400,88,-21.21,-159.78,78.8,3.36
288,Leshukonskoye,56,RU,1549260451,66,64.9,45.76,-3.66,8.08
291,Cap Malheureux,40,MU,1549256400,79,-19.98,57.61,86,11.41
292,Kavaratti,0,IN,1549260452,100,10.57,72.64,83.11,11.21
293,Plouzane,92,FR,1549258200,93,48.38,-4.62,46.4,24.16
294,Srednekolymsk,32,RU,1549260452,57,67.46,153.71,-19.86,2.59
295,Los Llanos de Aridane,20,ES,1549258200,67,28.66,-17.92,60.8,11.41
296,Iqaluit,90,CA,1549256400,84,63.75,-68.52,-0.41,3.36
297,Hamilton,75,BM,1549256100,72,32.3,-64.78,60.8,5.82
298,Darhan,0,MN,1549260454,39,49.49,105.92,-0.37,8.08
300,San Vicente,0,SV,1549259400,88,13.64,-88.78,71.6,3.36
302,Itarema,92,BR,1549260455,96,-2.92,-39.92,74.6,2.71
303,San Cristobal,75,EC,1549256400,93,-0.39,-78.55,57.2,2.24
304,Port Hawkesbury,90,CA,1549256400,85,45.62,-61.36,10.4,1.36
305,Alofi,8,NU,1549256400,69,-19.06,-169.92,82.4,11.41
306,Patitirion,0,GR,1549259400,82,39.15,23.87,55.4,6.93
307,Misratah,8,LY,1549260456,88,32.38,15.09,52.1,14.23
308,Ust-Omchug,44,RU,1549260457,70,61.13,149.63,-12.48,2.59
309,Puro,8,PH,1549260457,80,13.13,123.76,81.08,12.21
310,Tezu,12,IN,1549260457,38,27.93,96.16,63.8,1.92
311,Naze,32,NG,1549260457,96,5.43,7.07,74.2,4.16
312,Salalah,75,OM,1549255800,64,17.01,54.1,75.2,3.36
313,Phan Thiet,0,VN,1549260458,78,10.93,108.1,82.39,17.58
314,The Valley,20,AI,1549256400,73,18.22,-63.06,77,10.29
317,Ntcheu,100,MW,1549260459,96,-14.82,34.64,72.94,3.6
318,Komsomolskiy,0,RU,1549260459,0,67.55,63.78,-35.16,3.04
319,Fortuna,0,ES,1549258200,45,38.18,-1.13,44.6,11.41
320,Celestun,8,MX,1549260460,90,20.87,-90.4,76.67,15.01
321,Praia da Vitoria,75,PT,1549256400,82,38.73,-27.07,62.6,21.83
323,Hithadhoo,0,MV,1549260461,97,-0.6,73.08,84.68,13
324,Rundu,76,NA,1549260461,88,-17.91,19.77,67.4,4.5
325,Omboue,76,GA,1549260461,100,-1.57,9.26,80,7.4
326,Inhambane,40,MZ,1549256400,78,-23.87,35.38,80.6,4.7
328,Portland,90,US,1549255980,85,45.52,-122.67,39.92,4.7
329,Constantine,75,DZ,1549258200,74,36.36,6.61,37.4,10.29
331,Phalaborwa,20,ZA,1549256400,83,-23.95,31.14,73.4,3.36
333,Tarauaca,44,BR,1549260264,97,-8.16,-70.77,72.31,4.38
334,Lavrentiya,76,RU,1549260463,91,65.58,-170.99,25.33,16.58
336,Plaster Rock,90,CA,1549259640,64,46.91,-67.4,17.96,11.41
337,Pandan,24,PH,1549260464,100,11.72,122.09,78.38,17.69
338,Diu,36,IN,1549260464,29,20.71,70.98,86.53,2.71
339,Nyimba,64,ZM,1549260465,72,-14.56,30.81,76.45,4.16
340,Birjand,90,IR,1549258200,100,32.86,59.22,39.2,6.93
341,Tomohon,40,ID,1549258200,62,1.33,124.84,89.6,10.29
342,Talnakh,0,RU,1549260465,38,69.49,88.39,-25.12,6.06
343,Ailigandi,80,PA,1549260466,80,9.23,-78.02,76.85,6.73
344,Naryan-Mar,0,RU,1549260466,38,67.67,53.09,-24.45,6.62
345,Hualmay,88,PE,1549260466,94,-11.1,-77.61,69.02,4.16
346,Hirara,75,JP,1549256400,94,24.8,125.28,75.2,6.93
347,Cidreira,100,BR,1549260467,86,-30.17,-50.22,68.8,7.63
348,Abonnema,48,NG,1549260467,94,4.71,6.79,71.41,2.93
349,Ludwigslust,24,DE,1549260467,92,53.33,11.5,27.35,8.75
350,Saint-Junien,20,FR,1549258200,100,45.89,0.9,30.2,3.36
351,Springdale,75,US,1549258320,82,36.19,-94.13,62.06,13.87
352,Coruripe,92,BR,1549260468,98,-10.12,-36.18,80.9,9.75
353,Tshikapa,20,CD,1549260469,93,-6.42,20.79,75.91,3.04
354,Stutterheim,0,ZA,1549256400,83,-32.57,27.43,69.8,12.75
355,Oktyabrskoye,0,RU,1549258200,59,56.73,85.44,-31.01,3.6
356,Hohhot,0,CN,1549256400,32,40.81,111.65,24.8,4.47
357,Korem,0,ET,1549260470,38,12.51,39.52,61.78,1.7
358,Nsunga,20,TZ,1549256400,82,-1.13,31.39,66.2,1.92
359,Iwaki,75,JP,1549257060,68,37.05,140.89,42.8,20.8
360,Forbes,64,AU,1549260471,46,-33.38,148.01,91.07,4.38
361,Inta,0,RU,1549260471,81,66.04,60.13,-18.15,1.59
362,Barranca,68,PE,1549260471,100,-10.75,-77.76,71.45,9.64
363,Buraydah,0,SA,1549256400,81,26.33,43.97,50,5.82
364,Myitkyina,0,MM,1549260472,58,25.38,97.4,74.02,2.15
365,Owensboro,1,US,1549259760,82,37.77,-87.11,57.2,8.05
366,Nemuro,75,JP,1549256400,85,43.32,145.57,33.8,4.7
367,Salinopolis,88,BR,1549260473,100,-0.61,-47.36,80.27,11.99
368,Mount Gambier,90,AU,1549256400,60,-37.83,140.78,69.8,20.8
369,Mtsamboro,0,YT,1549258200,79,-12.7,45.07,84.2,4.7
370,Wilmington,1,US,1549259700,79,39.75,-75.55,33.8,2.71
371,Nueve de Julio,20,AR,1549260474,90,-31.67,-68.39,63.35,4.05
372,Aklavik,90,CA,1549256400,64,68.22,-135.01,-2.21,3.36
373,Chaparral,0,CO,1549260474,91,3.72,-75.48,52.96,1.92
374,Lardos,40,GR,1549259400,77,36.09,28.02,59,3.36
375,Lakes Entrance,68,AU,1549260475,79,-37.88,147.99,73.03,7.52
376,Marawi,80,PH,1549260475,93,8,124.29,75.46,3.15
377,Daru,20,SL,1549260476,89,7.99,-10.85,72.53,4.38
378,Lompoc,90,US,1549258500,93,34.64,-120.46,53.06,11.21
379,Taunggyi,0,MM,1549260476,55,20.78,97.03,74.33,3.6
380,Airai,64,TL,1549260476,72,-8.93,125.41,80.14,2.15
381,Port Blair,0,IN,1549260362,97,11.67,92.75,83.65,13.44
382,Kathmandu,20,NP,1549257600,51,27.71,85.32,60.8,2.24
383,El Retorno,68,CO,1549260477,79,2.33,-72.63,76.22,2.48
384,Emerald,40,AU,1549256400,41,-23.53,148.16,91.4,18.34
385,Westport,75,IE,1549260000,93,53.8,-9.52,41,6.93
386,Teknaf,0,BD,1549260478,43,20.86,92.31,80.63,6.06
387,Dakoro,0,NE,1549260478,61,14.51,6.76,56.6,3.49
388,Sayan,76,YE,1549260479,87,15.88,43.46,72.49,3.71
389,Karratha,68,AU,1549260479,24,-20.74,116.85,107,11.77
390,Havelock,90,US,1549259880,100,34.88,-76.9,53.96,13.87
391,Bambanglipuro,64,ID,1549260479,84,-7.95,110.28,82.93,7.63
392,Margate,20,AU,1549258200,53,-43.03,147.26,71.6,17.22
393,Berlevag,0,NO,1549255800,72,70.86,29.09,12.2,17.22
394,Virginia Beach,90,US,1549259940,73,36.85,-75.98,50,3.36
395,Malanje,88,AO,1549260480,96,-9.54,16.35,69.25,3.15
396,Grand Gaube,40,MU,1549256400,79,-20.01,57.66,86,11.41
397,Tashla,75,RU,1549258200,85,53.71,49.75,19.4,8.95
398,Iskateley,0,RU,1549260481,44,67.68,53.15,-27.1,3.94
399,Mendi,0,ET,1549260482,42,9.8,35.1,72.35,3.6
400,Mehendiganj,0,BD,1549260482,52,22.82,90.53,79.55,8.19
401,Wanning,75,AT,1549259400,94,48.64,13.53,32,8.05
402,Santa Ana,0,SV,1549255800,78,13.99,-89.56,71.6,2.24
404,Formosa do Rio Preto,68,BR,1549260483,93,-11.04,-45.19,70.33,2.93
405,Eureka,90,US,1549259160,88,40.8,-124.16,44.6,6.93
406,Lobez,75,PL,1549258200,100,53.64,15.62,28.4,2.24
408,Elizabeth City,1,US,1549259760,80,36.3,-76.22,50.9,11.1
409,Vertou,90,FR,1549258200,80,47.17,-1.47,42.8,12.75
410,Basse,20,DE,1549259400,89,52.55,9.51,32,4.7
411,Caceres,64,CO,1549260485,76,5.53,-74.53,67.18,2.37
412,Lima,90,PE,1549256400,88,-12.06,-77.04,75.2,13.87
413,Grimshaw,5,CA,1549256400,65,56.19,-117.61,-38.21,3.36
414,Godda,0,IN,1549260486,50,24.83,87.21,75.55,9.98
415,Changping,0,CN,1549258200,44,40.22,116.23,37.4,4.47
416,Altamira,8,BR,1549260487,92,-3.2,-52.21,75.55,4.16
417,Bud,75,NO,1549259400,73,62.91,6.91,33.8,10.29
418,Dudinka,8,RU,1549260487,70,69.41,86.18,-9.37,17.69
